Transaction_ID,Date,Account_Code,Account_Description,Debit,Credit,Balance,Document_Number,Posting_Period
TXN000001,2024-12-14,210000,Accrued Liabilities,0.0,9253.4,-9253.4,DOC6191,2024-12
TXN000002,2024-04-12,540000,Marketing Expense,22347.05,0.0,22347.05,DOC5426,2024-04
TXN000003,2024-03-28,310000,Retained Earnings,0.0,16752.06,-16752.06,DOC9322,2024-03
TXN000004,2024-09-14,540000,Marketing Expense,36127.74,0.0,36127.74,DOC7949,2024-09
TXN000005,2024-07-10,110000,Accounts Receivable,49611.36,0.0,49611.36,DOC2184,2024-07
TXN000006,2024-11-09,320000,Other Equity,0.0,26285.35,-26285.35,DOC9666,2024-11
TXN000007,2024-07-06,300000,Common Stock,0.0,18381.46,-18381.46,DOC1189,2024-07
TXN000008,2024-02-20,420000,Interest Income,0.0,19184.85,-19184.85,DOC2267,2024-02
TXN000009,2024-11-02,120000,Inventory,34047.35,0.0,34047.35,DOC6393,2024-11
TXN000010,2024-03-29,130000,Prepaid Expenses,48285.04,0.0,48285.04,DOC9433,2024-03
TXN000011,2024-12-11,230000,Long-term Debt,0.0,4973.84,-4973.84,DOC7235,2024-12
TXN000012,2024-09-20,420000,Interest Income,0.0,1815.99,-1815.99,DOC4152,2024-09
TXN000013,2024-02-19,130000,Prepaid Expenses,33159.86,0.0,33159.86,DOC4073,2024-02
TXN000014,2024-02-23,200000,Accounts Payable,0.0,27380.84,-27380.84,DOC8989,2024-02
TXN000015,2024-08-05,510000,Salaries and Wages,22542.73,0.0,22542.73,DOC5297,2024-08
TXN000016,2024-09-26,130000,Prepaid Expenses,36390.87,0.0,36390.87,DOC8629,2024-09
TXN000017,2024-07-31,220000,Short-term Debt,0.0,19495.0,-19495.0,DOC9529,2024-07
TXN000018,2024-02-22,420000,Interest Income,0.0,29378.88,-29378.88,DOC5859,2024-02
TXN000019,2024-02-10,400000,Sales Revenue,0.0,14884.05,-14884.05,DOC1064,2024-02
TXN000020,2024-01-09,210000,Accrued Liabilities,0.0,38635.01,-38635.01,DOC3027,2024-01
TXN000021,2024-03-03,220000,Short-term Debt,0.0,40791.53,-40791.53,DOC7736,2024-03
TXN000022,2024-06-11,220000,Short-term Debt,0.0,39529.76,-39529.76,DOC6892,2024-06
TXN000023,2024-08-18,300000,Common Stock,0.0,32588.74,-32588.74,DOC4099,2024-08
TXN000024,2024-07-19,210000,Accrued Liabilities,0.0,31202.58,-31202.58,DOC4104,2024-07
