Period,Statement_Type,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,EBITDA,Depreciation,EBIT,Interest_Expense,EBT,Tax,Net_Income,Cash,Accounts_Receivable,Inventory,Current_Assets,PPE,Total_Assets,Accounts_Payable,Short_Term_Debt,Current_Liabilities,Long_Term_Debt,Total_Liabilities,Equity
2024-01,P&L,687270.06,405587.52,281682.54,346398.79,-64716.25,37959.75,-102676.0,13120.37,-115796.38,-28949.09,-86847.28,162397.81,211616.72,279926.42,653940.95,3803345.04,4457285.99,170807.26,52058.45,222865.71,1969909.85,2192775.56,2264510.43
2024-01,P&L,916221.32,405398.45,510822.87,236364.99,274457.87,25502.14,248955.74,16084.84,232870.89,58217.72,174653.17,309902.57,286389.0,193684.37,789975.95,3835558.68,4625534.63,113949.39,79214.46,193163.85,1366361.84,1559525.69,3066008.94
2024-03,P&L,728034.99,405541.11,322493.88,239934.76,82559.12,35427.03,47132.09,21848.29,25283.8,6320.95,18962.85,118580.17,321508.97,175578.62,615667.75,2195154.78,2810822.53,194888.55,146563.2,341451.76,1808397.35,2149849.11,660973.43
2024-03,P&L,652306.88,273665.19,378641.69,336846.61,41795.09,33204.57,8590.51,12440.76,-3850.25,-962.56,-2887.69,298070.76,206877.7,286398.06,791346.53,2776339.94,3567686.47,166252.23,81171.11,247423.34,1520068.02,1767491.36,1800195.12
2024-04,P&L,773355.14,337933.68,435421.46,393916.93,41504.53,43253.98,-1749.46,28789.98,-30539.43,-7634.86,-22904.58,457930.94,319580.0,288281.14,1065792.07,2265477.51,3331269.58,119598.29,54522.73,174121.02,1325330.33,1499451.35,1831818.23
2024-05,P&L,694338.64,315417.08,378921.56,365747.5,13174.06,30702.6,-17528.54,15618.69,-33147.23,-8286.81,-24860.42,317078.43,228184.84,270329.55,815592.83,2223651.93,3039244.76,198688.69,127224.48,325913.17,1198715.68,1524628.85,1514615.9
2024-06,P&L,502761.06,283100.87,219660.18,341371.47,-121711.28,41870.22,-163581.5,25425.41,-189006.91,-47251.73,-141755.18,129617.86,271693.15,167380.36,568691.37,4589310.28,5158001.64,162329.81,83089.8,245419.62,1063558.35,1308977.97,3849023.68
2024-07,P&L,655491.16,304827.42,350663.74,345921.24,4742.5,39126.72,-34384.22,27744.25,-62128.48,-15532.12,-46596.36,288885.97,223918.85,256986.72,769791.54,4282355.15,5052146.68,156127.72,127096.72,283224.44,1493795.6,1777020.03,3275126.65
2024-08,P&L,761366.41,369649.64,391716.77,205083.83,186632.95,23236.74,163396.21,10628.58,152767.62,38191.91,114575.72,354564.16,262871.2,226285.6,843720.96,4722699.42,5566420.39,124929.22,91038.29,215967.52,1755551.14,1971518.65,3594901.73
2024-09,P&L,614399.08,255218.91,359180.17,257950.29,101229.88,24836.64,76393.24,28593.95,47799.29,11949.82,35849.47,423248.15,326680.75,280719.09,1030647.99,4411016.23,5441664.22,118657.01,139255.9,257912.91,1539342.24,1797255.15,3644409.07
2024-10,P&L,903720.08,523451.17,380268.91,263600.69,116668.21,23301.56,93366.65,14558.7,78807.95,19701.99,59105.96,270843.12,363602.95,279109.59,913555.66,2020856.39,2934412.05,151074.73,91741.1,242815.83,1222107.81,1464923.64,1469488.41
2024-11,P&L,559932.68,261781.43,298151.26,388581.94,-90430.68,29696.09,-120126.77,20375.81,-140502.58,-35125.65,-105376.94,381207.58,272725.92,295767.31,949700.82,4887341.88,5837042.7,125178.23,99724.85,224903.08,1300878.31,1525781.39,4311261.31
