Order_Number,Order_Date,Delivery_Date,Customer_ID,Customer_Name,Product_Code,Product_Name,Quantity,Unit_Price,Total_Amount,Currency,Region,Status,Sales_Rep
SO000001,2024-04-12,2024-05-08,CUST00093,Customer CUST00093,PRD075,Product H,61,302.46,18449.85,USD,South,Open,REP11
SO000002,2024-03-28,2024-04-24,CUST00100,Customer CUST00100,PRD030,Product H,24,328.94,7894.45,USD,Central,Cancelled,REP06
SO000003,2024-07-10,2024-08-06,CUST00033,Customer CUST00033,PRD059,Product J,22,13.46,296.17,USD,North,In Process,REP10
SO000004,2024-07-06,2024-07-28,CUST00015,Customer CUST00015,PRD051,Product C,55,491.78,27048.07,USD,North,Open,REP07
SO000005,2024-01-21,2024-02-05,CUST00039,Customer CUST00039,PRD090,Product B,4,471.68,1886.72,USD,South,In Process,REP02
SO000006,2024-12-05,2024-12-26,CUST00060,Customer CUST00060,PRD036,Product G,44,252.64,11116.01,USD,East,Cancelled,REP18
SO000007,2024-12-25,2025-01-04,CUST00002,Customer CUST00002,PRD090,Product F,54,277.89,15005.95,USD,Central,Cancelled,REP12
SO000008,2024-06-10,2024-06-26,CUST00062,Customer CUST00062,PRD040,Product D,14,366.36,5129.09,USD,West,Open,REP16
SO000009,2024-08-24,2024-09-17,CUST00053,Customer CUST00053,PRD041,Product H,26,482.98,12557.35,USD,West,Delivered,REP15
SO000010,2024-10-27,2024-11-03,CUST00089,Customer CUST00089,PRD063,Product G,9,388.4,3495.6,USD,West,In Process,REP11
SO000011,2024-03-21,2024-04-04,CUST00035,Customer CUST00035,PRD041,Product C,33,306.92,10128.37,USD,South,In Process,REP07
SO000012,2024-07-19,2024-08-02,CUST00012,Customer CUST00012,PRD086,Product B,33,41.14,1357.74,USD,Central,Delivered,REP03
SO000013,2024-08-14,2024-08-25,CUST00047,Customer CUST00047,PRD015,Product C,1,363.65,363.65,USD,East,Delivered,REP10
SO000014,2024-06-27,2024-07-10,CUST00052,Customer CUST00052,PRD029,Product D,94,78.27,7357.61,USD,Central,Delivered,REP04
SO000015,2024-01-13,2024-01-26,CUST00059,Customer CUST00059,PRD057,Product C,86,441.43,37962.91,USD,South,Delivered,REP06
SO000016,2024-10-10,2024-10-28,CUST00044,Customer CUST00044,PRD089,Product D,30,442.81,13284.22,USD,South,Open,REP07
SO000017,2024-07-08,2024-07-15,CUST00001,Customer CUST00001,PRD003,Product I,27,219.28,5920.64,USD,West,In Process,REP07
SO000018,2024-07-16,2024-07-30,CUST00027,Customer CUST00027,PRD024,Product I,62,118.83,7367.64,USD,East,In Process,REP15
SO000019,2024-11-10,2024-12-08,CUST00032,Customer CUST00032,PRD012,Product H,52,188.18,9785.28,USD,North,In Process,REP07
SO000020,2024-04-22,2024-05-03,CUST00056,Customer CUST00056,PRD087,Product A,59,308.69,18212.5,USD,South,In Process,REP05
SO000021,2024-08-11,2024-08-18,CUST00001,Customer CUST00001,PRD032,Product C,2,270.16,540.32,USD,South,Cancelled,REP04
